,NSC,CID,SMILES,MECHANISM,NAME,nci60,nciSclc,lantnci,gdsc1,gdsc2,gdscDec15,ccle,ctrp
20464,758645,36314.0,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,TUBB,paclitaxel,125973|758645,125973,125973|758645,Paclitaxel,Paclitaxel,Paclitaxel,Paclitaxel,paclitaxel
20465,758645,441276.0,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,TUBB,Paclitaxel (Taxol),125973|758645,125973,125973|758645,Paclitaxel,Paclitaxel,Paclitaxel,Paclitaxel,paclitaxel
20466,758654,62878.0,,,,,758654,,,,,,
20467,758662,53232.0,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,Other,Lovastatin,633781|779704|758662,,,,,,,lovastatin
20468,758662,53232.0,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,Other,lovastatin,633781|779704|758662,,,,,,,lovastatin
20469,758664,5284616.0,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,Kinase,Rapamycin,226080|758664|606698,226080,226080|758664|606698,Rapamycin,Rapamycin,Rapamycin,,sirolimus
20470,758664,5284616.0,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,Kinase,sirolimus,226080|758664|606698,226080,226080|758664|606698,Rapamycin,Rapamycin,Rapamycin,,sirolimus
20471,758664,60148419.0,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,Kinase,Pharmakon1600-01504008,226080|758664|606698,226080,226080|758664|606698,Rapamycin,Rapamycin,Rapamycin,,sirolimus
20472,758667,452548.0,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,DNA,teniposide,122819|758255|758667,758255|122819,122819|758255|758667,,Teniposide,Teniposide,,teniposide
20473,758667,6708778.0,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,DNA,"(8aR,9R)-5-[[(2R,4aR,6R,7R,8R)-7,8-dihydroxy-2-thiophen-2-yl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofuro[6,5-f][1,3]benzodioxol-8-one",122819|758255|758667,758255|122819,122819|758255|758667,,Teniposide,Teniposide,,teniposide
20474,758670,16134267.0,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Other,Pharmakon1600-01504105,,,,,,,,
20475,758671,16667703.0,C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl,DNA,Pharmakon1600-01504137,758671|145668,,,,,,,
20476,758682,11832956.0,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)O)C,Other,Pharmakon1600-01504143,758682,,,,,,,
20477,758706,54454.0,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,DNA,Simvastatin,758706|633782,633782|751549,758706|633782,,,,,simvastatin
20478,758706,54454.0,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,DNA,simvastatin,758706|633782,633782|751549,758706|633782,,,,,simvastatin
20479,758772,227681.0,CCC(=O)OCN1C(=O)C=CC1=O,Other,"(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)methyl propionate",,,,,,,,
20480,758773,11414799.0,CC1=NC2=CC=CC=C2C(=N1)N(C)C3=CC=C(C=C3)OC,TUBB,Verubulin,,758773,,,,,,
20481,758774,6918638.0,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,HDAC,Belinostat,726630|758774,758774,726630|758774,Belinostat,,"PXD101, Belinostat",,belinostat
